date,ma_max_temp,ma_rain,avg_price
2016/06/25,17.66118421,3.755263158,1820
2016/06/26,17.82960526,3.754605263,1820
2016/06/27,17.9625,3.774342105,1740
2016/06/28,18.11513158,3.727631579,1760
2016/06/29,18.25855263,3.691447368,1700
2016/06/30,18.40460526,3.693421053,1620
2016/07/01,18.56315789,3.949342105,1680
2016/07/02,18.72697368,4.085526316,1680
2016/07/03,18.87368421,4.255921053,1680
2016/07/04,19.00460526,4.580921053,1740
2016/07/05,19.15197368,4.816447368,1740
2016/07/06,19.29671053,4.973026316,1740
2016/07/07,19.46644737,4.974342105,1740
2016/07/08,19.6375,4.988157895,1740
2016/07/09,19.79736842,4.986184211,1740
2016/07/10,19.95,5.003289474,1740
2016/07/11,20.075,5.034210526,1690
2016/07/12,20.16513158,5.1125,1700
2016/07/13,20.28026316,4.959210526,1660
2016/07/14,20.36842105,4.915131579,1580
2016/07/15,20.49276316,4.917763158,1570
2016/07/16,20.64868421,5.096052632,1570
2016/07/17,20.8,5.106578947,1570
2016/07/18,20.94671053,5.109210526,1640
2016/07/19,21.08092105,5.111842105,1600
2016/07/20,21.21578947,5.107236842,1600
2016/07/21,21.35263158,5.105263158,1510
2016/07/22,21.51381579,5.105263158,1450
2016/07/23,21.67302632,5.142105263,1450
2016/07/24,21.825,5.208552632,1450
2016/07/25,22.00921053,5.264473684,1450
2016/07/26,22.18355263,5.272368421,1450
2016/07/27,22.34407895,5.282894737,1410
2016/07/28,22.48618421,5.280263158,1410
2016/07/29,22.625,5.334868421,1410
2016/07/30,22.83223684,5.379605263,1410
2016/07/31,23.02434211,5.433552632,1410
2016/08/01,23.17171053,5.472368421,1410
2016/08/02,23.27565789,5.504605263,1410
2016/08/03,23.39144737,5.452631579,1440
2016/08/04,23.50394737,5.311842105,1560
2016/08/05,23.62171053,5.303947368,1800
2016/08/06,23.74473684,5.322368421,1800
2016/08/07,23.90592105,5.330921053,1800
2016/08/08,24.07697368,5.376315789,1920
2016/08/09,24.25328947,5.398026316,1820
2016/08/10,24.43618421,5.398026316,1740
2016/08/11,24.61052632,5.398026316,1740
2016/08/12,24.78815789,5.388815789,1740
2016/08/13,24.95328947,5.386184211,1740
2016/08/14,25.09144737,5.410526316,1740
2016/08/15,25.20460526,5.443421053,1740
2016/08/16,25.30131579,5.471052632,1940
2016/08/17,25.41907895,5.4,1890
2016/08/18,25.52894737,5.413815789,1950
2016/08/19,25.65855263,5.428289474,2050
2016/08/20,25.77763158,5.454605263,2050
2016/08/21,25.88815789,5.459868421,2050
2016/08/22,26.02105263,5.463157895,2100
2016/08/23,26.15394737,5.486184211,2100
2016/08/24,26.3,5.486184211,2040
2016/08/25,26.44144737,5.505263158,2040
2016/08/26,26.52828947,5.579605263,2040
2016/08/27,26.59078947,5.592763158,2040
2016/08/28,26.62763158,5.757236842,2040
2016/08/29,26.66052632,5.823684211,2220
2016/08/30,26.68815789,5.845394737,2380
2016/08/31,26.70592105,5.894736842,2280
2016/09/01,26.7625,5.924342105,2460
2016/09/02,26.82302632,6.070394737,2460
2016/09/03,26.9,6.258552632,2460
2016/09/04,26.96381579,6.2875,2460
2016/09/05,27.01776316,6.210526316,2540
2016/09/06,27.08223684,6.065131579,2480
2016/09/07,27.12434211,6.074342105,2320
2016/09/08,27.16447368,6.103289474,2280
2016/09/09,27.21118421,6.111842105,2160
2016/09/10,27.28684211,6.15,2160
2016/09/11,27.34013158,6.153289474,2160
2016/09/12,27.38947368,6.111184211,2160
2016/09/13,27.43355263,6.113157895,2680
2016/09/14,27.47565789,6.119736842,2680
2016/09/15,27.525,5.917763158,2680
2016/09/16,27.57828947,5.900657895,2680
2016/09/17,27.60592105,6.458552632,2680
2016/09/18,27.63092105,6.505921053,2680
2016/09/19,27.65526316,6.516447368,2300
2016/09/20,27.70065789,6.333552632,2540
2016/09/21,27.70065789,6.333552632,2680
2016/09/22,27.72697368,6.325657895,2630
2016/09/23,27.75394737,6.325657895,2530
2016/09/24,27.76842105,6.325657895,2530
2016/09/25,27.77697368,6.302631579,2530
2016/09/26,27.85065789,6.116447368,2470
2016/09/27,27.90263158,6.128947368,2440
2016/09/28,27.92631579,6.204605263,2330
2016/09/29,27.91513158,6.222368421,2180
2016/09/30,27.87960526,6.346710526,2230
2016/10/01,27.86052632,6.315789474,2230
